
Extracted contents to /scratch/hy2611/ML_Competition/dataset
Extracted contents to /scratch/hy2611/ML_Competition/dataset
Epoch 1, Loss: 1.3170554637908936, Validation Accuracy: 0.4873843566021867
Epoch 36, Loss: 0.4787330627441406, Validation Accuracy: 0.828847771236333
Epoch 37, Loss: 0.3860212564468384, Validation Accuracy: 0.8498738435660219
Epoch 38, Loss: 0.4225364029407501, Validation Accuracy: 0.804457527333894
Epoch 39, Loss: 0.4626179337501526, Validation Accuracy: 0.8052985702270816
Epoch 40, Loss: 0.3915424644947052, Validation Accuracy: 0.8305298570227082
Epoch 41, Loss: 0.429557204246521, Validation Accuracy: 0.8528174936921783
Epoch 42, Loss: 0.39025187492370605, Validation Accuracy: 0.8305298570227082
Epoch 43, Loss: 0.4281390309333801, Validation Accuracy: 0.8452481076534903
Epoch 44, Loss: 0.4094669222831726, Validation Accuracy: 0.8460891505466779
Epoch 45, Loss: 0.45058825612068176, Validation Accuracy: 0.8566021867115223
Epoch 46, Loss: 0.3824927806854248, Validation Accuracy: 0.8355761143818334
Epoch 47, Loss: 0.45459043979644775, Validation Accuracy: 0.7809083263246426
Epoch 48, Loss: 0.37833642959594727, Validation Accuracy: 0.8519764507989908
Epoch 49, Loss: 0.409051775932312, Validation Accuracy: 0.8566021867115223
Epoch 50, Loss: 0.3878211975097656, Validation Accuracy: 0.8221194280908326
Epoch 51, Loss: 0.39179837703704834, Validation Accuracy: 0.8389402859545837
Epoch 52, Loss: 0.3753897547721863, Validation Accuracy: 0.8587047939444912
Epoch 53, Loss: 0.43318885564804077, Validation Accuracy: 0.8662741799831791
Epoch 54, Loss: 0.38441362977027893, Validation Accuracy: 0.851555929352397
Epoch 55, Loss: 0.44358712434768677, Validation Accuracy: 0.8284272497897393
Epoch 56, Loss: 0.3825399875640869, Validation Accuracy: 0.862910008410429
Epoch 57, Loss: 0.39753466844558716, Validation Accuracy: 0.8566021867115223
Epoch 58, Loss: 0.3826208710670471, Validation Accuracy: 0.8544995794785534
Epoch 59, Loss: 0.4469912052154541, Validation Accuracy: 0.8427249789739276
Epoch 60, Loss: 0.3730570375919342, Validation Accuracy: 0.8578637510513036
Epoch 61, Loss: 0.4014550447463989, Validation Accuracy: 0.8666947014297729
Epoch 62, Loss: 0.44109296798706055, Validation Accuracy: 0.8448275862068966
Epoch 63, Loss: 0.41731947660446167, Validation Accuracy: 0.8532380151387721
Epoch 64, Loss: 0.37494850158691406, Validation Accuracy: 0.8654331370899916
Epoch 65, Loss: 0.4263972043991089, Validation Accuracy: 0.8578637510513036
Epoch 66, Loss: 0.5093549489974976, Validation Accuracy: 0.86080740117746
Epoch 67, Loss: 0.36148542165756226, Validation Accuracy: 0.8519764507989908
Epoch 68, Loss: 0.3624781370162964, Validation Accuracy: 0.8612279226240538
Epoch 69, Loss: 0.42058300971984863, Validation Accuracy: 0.8624894869638352
Epoch 70, Loss: 0.3768148422241211, Validation Accuracy: 0.8410428931875525
Epoch 71, Loss: 0.39184626936912537, Validation Accuracy: 0.8587047939444912
Epoch 72, Loss: 0.4976823031902313, Validation Accuracy: 0.86080740117746
Epoch 73, Loss: 0.37859922647476196, Validation Accuracy: 0.862910008410429
Epoch 74, Loss: 0.4947928786277771, Validation Accuracy: 0.8566021867115223
Epoch 75, Loss: 0.41361337900161743, Validation Accuracy: 0.8498738435660219
Epoch 76, Loss: 0.4377192258834839, Validation Accuracy: 0.8641715727502103
Epoch 77, Loss: 0.37340444326400757, Validation Accuracy: 0.8671152228763667
Epoch 78, Loss: 0.3728303015232086, Validation Accuracy: 0.8532380151387721
Epoch 79, Loss: 0.4217078685760498, Validation Accuracy: 0.8532380151387721
Epoch 80, Loss: 0.3801158666610718, Validation Accuracy: 0.8641715727502103
Epoch 81, Loss: 0.3750147521495819, Validation Accuracy: 0.8435660218671153
Epoch 82, Loss: 0.37247782945632935, Validation Accuracy: 0.8179142136248949
Epoch 83, Loss: 0.4076368808746338, Validation Accuracy: 0.8435660218671153
Epoch 84, Loss: 0.40002670884132385, Validation Accuracy: 0.8704793944491169
Epoch 85, Loss: 0.37683600187301636, Validation Accuracy: 0.8641715727502103
Epoch 86, Loss: 0.3980412483215332, Validation Accuracy: 0.8494533221194281
Epoch 87, Loss: 0.38042327761650085, Validation Accuracy: 0.8595458368376787
Epoch 88, Loss: 0.4844253659248352, Validation Accuracy: 0.8671152228763667
Epoch 89, Loss: 0.418939471244812, Validation Accuracy: 0.8587047939444912
Epoch 90, Loss: 0.3785327672958374, Validation Accuracy: 0.8587047939444912
Epoch 91, Loss: 0.41682863235473633, Validation Accuracy: 0.8616484440706476
Epoch 92, Loss: 0.3936806321144104, Validation Accuracy: 0.8696383515559294
Epoch 93, Loss: 0.3964625298976898, Validation Accuracy: 0.862910008410429
Epoch 94, Loss: 0.42905279994010925, Validation Accuracy: 0.8624894869638352
Epoch 95, Loss: 0.39417609572410583, Validation Accuracy: 0.8578637510513036
Epoch 96, Loss: 0.37073805928230286, Validation Accuracy: 0.8679562657695542
Epoch 97, Loss: 0.3735901117324829, Validation Accuracy: 0.8704793944491169
Epoch 98, Loss: 0.3666224479675293, Validation Accuracy: 0.8679562657695542
Epoch 99, Loss: 0.36280545592308044, Validation Accuracy: 0.8675357443229604
Epoch 100, Loss: 0.3667465150356293, Validation Accuracy: 0.8704793944491169
Model state dictionary saved.

Predicting: 100%|██████████| 39/39 [00:03<00:00, 11.30it/s]
Test predictions saved as CSV.
