
Extracted contents to /scratch/hy2611/ML_Competition/dataset
Extracted contents to /scratch/hy2611/ML_Competition/dataset
Epoch 1, Loss: 1.3464930057525635, Validation Accuracy: 0.4932716568544996
Epoch 33, Loss: 1.238356351852417, Validation Accuracy: 0.4907485281749369
Epoch 34, Loss: 1.1917099952697754, Validation Accuracy: 0.4899074852817494
Epoch 35, Loss: 1.2045795917510986, Validation Accuracy: 0.49158957106812445
Epoch 36, Loss: 1.2150814533233643, Validation Accuracy: 0.488645920941968
Epoch 37, Loss: 1.1856356859207153, Validation Accuracy: 0.4941126997476871
Epoch 38, Loss: 1.2547584772109985, Validation Accuracy: 0.48906644238856184
Epoch 39, Loss: 1.1848769187927246, Validation Accuracy: 0.4907485281749369
Epoch 40, Loss: 1.1483328342437744, Validation Accuracy: 0.4907485281749369
Epoch 41, Loss: 1.1598858833312988, Validation Accuracy: 0.4932716568544996
Epoch 42, Loss: 1.1939635276794434, Validation Accuracy: 0.4920100925147183
Epoch 43, Loss: 1.247384786605835, Validation Accuracy: 0.4932716568544996
Epoch 44, Loss: 1.1394857168197632, Validation Accuracy: 0.49243061396131205
Epoch 45, Loss: 1.1364543437957764, Validation Accuracy: 0.4894869638351556
Epoch 46, Loss: 1.2296501398086548, Validation Accuracy: 0.4920100925147183
Epoch 47, Loss: 1.2266026735305786, Validation Accuracy: 0.4907485281749369
Epoch 48, Loss: 1.1137371063232422, Validation Accuracy: 0.49243061396131205
Epoch 49, Loss: 1.2115223407745361, Validation Accuracy: 0.49369217830109335
Epoch 50, Loss: 1.2803856134414673, Validation Accuracy: 0.4941126997476871
Epoch 51, Loss: 1.1312313079833984, Validation Accuracy: 0.4932716568544996
Epoch 52, Loss: 1.2843972444534302, Validation Accuracy: 0.49243061396131205
Epoch 53, Loss: 1.2658419609069824, Validation Accuracy: 0.4928511354079058
Epoch 54, Loss: 1.1217296123504639, Validation Accuracy: 0.4899074852817494
Epoch 55, Loss: 1.2112739086151123, Validation Accuracy: 0.49158957106812445
Epoch 56, Loss: 1.1508116722106934, Validation Accuracy: 0.49243061396131205
Epoch 57, Loss: 1.174039363861084, Validation Accuracy: 0.4873843566021867
Epoch 58, Loss: 1.1838458776474, Validation Accuracy: 0.49158957106812445
Epoch 59, Loss: 1.2957171201705933, Validation Accuracy: 0.49495374264087466
Epoch 60, Loss: 1.3270138502120972, Validation Accuracy: 0.4953742640874685
Epoch 61, Loss: 1.2071412801742554, Validation Accuracy: 0.4920100925147183
Epoch 62, Loss: 1.271302580833435, Validation Accuracy: 0.4945332211942809
Epoch 63, Loss: 1.2874939441680908, Validation Accuracy: 0.48906644238856184
Epoch 64, Loss: 1.2327823638916016, Validation Accuracy: 0.4907485281749369
Epoch 65, Loss: 1.3078250885009766, Validation Accuracy: 0.4920100925147183
Epoch 66, Loss: 1.2270818948745728, Validation Accuracy: 0.49369217830109335
Epoch 67, Loss: 1.2677923440933228, Validation Accuracy: 0.4920100925147183
Epoch 68, Loss: 1.2016785144805908, Validation Accuracy: 0.4911690496215307
Epoch 69, Loss: 1.2966198921203613, Validation Accuracy: 0.48654331370899917
Epoch 70, Loss: 1.1814652681350708, Validation Accuracy: 0.4928511354079058
Epoch 71, Loss: 1.1330138444900513, Validation Accuracy: 0.49243061396131205
Epoch 72, Loss: 1.2570527791976929, Validation Accuracy: 0.49243061396131205
Epoch 73, Loss: 1.0856754779815674, Validation Accuracy: 0.48654331370899917
Epoch 74, Loss: 1.2848262786865234, Validation Accuracy: 0.49158957106812445
Epoch 75, Loss: 1.1259517669677734, Validation Accuracy: 0.49158957106812445
Epoch 76, Loss: 1.1515388488769531, Validation Accuracy: 0.4911690496215307
Epoch 77, Loss: 1.2738324403762817, Validation Accuracy: 0.4928511354079058
Epoch 78, Loss: 1.3151935338974, Validation Accuracy: 0.4928511354079058
Epoch 79, Loss: 1.2918494939804077, Validation Accuracy: 0.4945332211942809
Epoch 80, Loss: 1.2970327138900757, Validation Accuracy: 0.49705634987384356
Epoch 81, Loss: 1.2098325490951538, Validation Accuracy: 0.49369217830109335
Epoch 82, Loss: 1.2976086139678955, Validation Accuracy: 0.4920100925147183
Epoch 83, Loss: 1.208927035331726, Validation Accuracy: 0.4928511354079058
Epoch 84, Loss: 1.1767045259475708, Validation Accuracy: 0.4932716568544996
Epoch 85, Loss: 1.1264269351959229, Validation Accuracy: 0.4911690496215307
Epoch 86, Loss: 1.288132905960083, Validation Accuracy: 0.4899074852817494
Epoch 87, Loss: 1.2633997201919556, Validation Accuracy: 0.4899074852817494
Epoch 88, Loss: 1.336918830871582, Validation Accuracy: 0.4911690496215307
Epoch 89, Loss: 1.1806727647781372, Validation Accuracy: 0.4932716568544996
Epoch 90, Loss: 1.0800824165344238, Validation Accuracy: 0.4920100925147183
Epoch 91, Loss: 1.2249478101730347, Validation Accuracy: 0.4920100925147183
Epoch 92, Loss: 1.2731256484985352, Validation Accuracy: 0.49158957106812445
Epoch 93, Loss: 1.2017706632614136, Validation Accuracy: 0.49158957106812445
Epoch 94, Loss: 1.3012592792510986, Validation Accuracy: 0.4920100925147183
Epoch 95, Loss: 1.2036447525024414, Validation Accuracy: 0.49369217830109335
Epoch 96, Loss: 1.1264060735702515, Validation Accuracy: 0.49243061396131205
Epoch 97, Loss: 1.2452601194381714, Validation Accuracy: 0.49243061396131205
Epoch 98, Loss: 1.165989875793457, Validation Accuracy: 0.49032800672834315
Epoch 99, Loss: 1.224326729774475, Validation Accuracy: 0.4945332211942809
Epoch 100, Loss: 1.174578309059143, Validation Accuracy: 0.4920100925147183
Model state dictionary saved.

Predicting:  87%|████████▋ | 34/39 [00:03<00:00,  9.90it/s]

Predicting: 100%|██████████| 39/39 [00:04<00:00,  9.63it/s]
